datetime,events,distance(KM)
20180526000000,0,-1
20180526000001,0,-1
20180526000002,0,-1
20180526000003,0,-1
20180526000004,0,-1
20180526000005,0,-1
20180526000006,0,-1
20180526000007,0,-1
20180526000008,0,-1
20180526000010,0,-1
20180526000011,0,-1
20180526000012,0,-1
20180526000013,0,-1
20180526000014,0,-1
20180526000015,0,-1
20180526000016,0,-1
20180526000017,0,-1
20180526000018,0,-1
20180526000019,0,-1
20180526000020,0,-1
20180526000021,0,-1
20180526000022,0,-1
20180526000023,0,-1
20180526000024,0,-1
20180526000025,0,-1
20180526000026,0,-1
20180526000027,0,-1
20180526000028,0,-1
20180526000029,0,-1
20180526000030,0,-1
20180526000031,0,-1
20180526000033,0,-1
20180526000034,0,-1
20180526000035,0,-1
20180526000036,0,-1
20180526000037,0,-1
20180526000038,0,-1
20180526000039,0,-1
20180526000040,0,-1
20180526000041,0,-1
20180526000042,0,-1
20180526000043,0,-1
20180526000044,0,-1
20180526000045,0,-1
20180526000046,0,-1
20180526000047,0,-1
20180526000048,0,-1
20180526000049,0,-1
20180526000050,0,-1
20180526000051,0,-1
20180526000052,0,-1
20180526000053,0,-1
20180526000054,0,-1
20180526000056,0,-1
20180526000057,0,-1
20180526000058,0,-1
20180526000059,0,-1
20180526000100,0,-1
20180526000101,0,-1
20180526000102,0,-1
20180526000103,0,-1
20180526000104,0,-1
20180526000105,0,-1
20180526000106,0,-1
20180526000107,0,-1
20180526000108,0,-1
20180526000109,0,-1
20180526000110,0,-1
20180526000111,0,-1
20180526000112,0,-1
20180526000113,0,-1
20180526000114,0,-1
20180526000115,0,-1
20180526000116,0,-1
20180526000117,0,-1
20180526000118,0,-1
20180526000120,0,-1
20180526000121,0,-1
20180526000122,0,-1
20180526000123,0,-1
20180526000124,0,-1
20180526000125,0,-1
20180526000126,0,-1
20180526000127,0,-1
20180526000128,0,-1
20180526000129,0,-1
20180526000130,0,-1
20180526000131,0,-1
20180526000132,0,-1
20180526000133,0,-1
20180526000134,0,-1
20180526000135,0,-1
20180526000136,0,-1
20180526000137,0,-1
20180526000138,0,-1
20180526000139,0,-1
20180526000140,0,-1
20180526000141,0,-1
20180526000143,0,-1
20180526000144,0,-1
20180526000145,0,-1
20180526000146,0,-1
20180526000147,0,-1
20180526000148,0,-1
20180526000149,0,-1
20180526000150,0,-1
20180526000151,0,-1
20180526000152,0,-1
20180526000153,0,-1
20180526000154,0,-1
20180526000155,0,-1
20180526000156,0,-1
20180526000157,0,-1
20180526000158,0,-1
20180526000159,0,-1
20180526000200,0,-1
20180526000201,0,-1
20180526000202,0,-1
20180526000203,0,-1
20180526000204,0,-1
20180526000205,0,-1
20180526000207,0,-1
20180526000208,0,-1
20180526000209,0,-1
20180526000210,0,-1
20180526000211,0,-1
20180526000212,0,-1
20180526000213,0,-1
20180526000214,0,-1
20180526000215,0,-1
20180526000216,0,-1
20180526000217,0,-1
20180526000218,0,-1
20180526000219,0,-1
20180526000220,0,-1
20180526000221,0,-1
20180526000222,0,-1
20180526000223,0,-1
20180526000224,0,-1
20180526000225,0,-1
20180526000226,0,-1
20180526000227,0,-1
20180526000228,0,-1
20180526000230,0,-1
20180526000231,0,-1
20180526000232,0,-1
20180526000233,0,-1
20180526000234,0,-1
20180526000235,0,-1
20180526000236,0,-1
20180526000237,0,-1
20180526000238,0,-1
20180526000239,0,-1
20180526000240,0,-1
20180526000241,0,-1
20180526000242,0,-1
20180526000243,0,-1
20180526000244,0,-1
20180526000245,0,-1
20180526000246,0,-1
20180526000247,0,-1
20180526000248,0,-1
20180526000249,0,-1
20180526000250,0,-1
20180526000251,0,-1
20180526000253,0,-1
20180526000254,0,-1
20180526000255,0,-1
20180526000256,0,-1
20180526000257,0,-1
20180526000258,0,-1
20180526000259,0,-1
20180526000300,0,-1
20180526000301,0,-1
20180526000302,0,-1
20180526000303,0,-1
20180526000304,0,-1
20180526000305,0,-1
20180526000306,0,-1
20180526000307,0,-1
20180526000308,0,-1
20180526000309,0,-1
20180526000310,0,-1
20180526000311,0,-1
20180526000312,0,-1
20180526000313,0,-1
20180526000315,0,-1
20180526000316,0,-1
20180526000317,0,-1
20180526000318,0,-1
20180526000319,0,-1
20180526000320,0,-1
20180526000321,0,-1
20180526000322,0,-1
20180526000323,0,-1
20180526000324,0,-1
20180526000325,0,-1
20180526000326,0,-1
20180526000327,0,-1
20180526000328,0,-1
20180526000329,0,-1
20180526000330,0,-1
20180526000331,0,-1
20180526000332,0,-1
20180526000333,0,-1
20180526000334,0,-1
20180526000335,0,-1
20180526000336,0,-1
20180526000338,0,-1
20180526000339,0,-1
20180526000340,0,-1
20180526000341,0,-1
20180526000342,0,-1
20180526000343,0,-1
20180526000344,0,-1
20180526000345,0,-1
20180526000346,0,-1
20180526000347,0,-1
20180526000348,0,-1
20180526000349,0,-1
20180526000350,0,-1
20180526000351,0,-1
20180526000352,0,-1
20180526000353,0,-1
20180526000354,0,-1
20180526000355,0,-1
20180526000356,0,-1
20180526000357,0,-1
20180526000358,0,-1
20180526000359,0,-1
20180526000401,0,-1
20180526000402,0,-1
20180526000403,0,-1
20180526000404,0,-1
20180526000405,0,-1
20180526000406,0,-1
20180526000407,0,-1
20180526000408,0,-1
20180526000409,0,-1
20180526000410,0,-1
20180526000411,0,-1
20180526000412,0,-1
20180526000413,0,-1
20180526000414,0,-1
20180526000415,0,-1
20180526000416,0,-1
20180526000417,0,-1
20180526000418,0,-1
20180526000419,0,-1
20180526000420,0,-1
20180526000421,0,-1
20180526000423,0,-1
20180526000424,0,-1
20180526000425,0,-1
20180526000426,0,-1
20180526000427,0,-1
20180526000428,0,-1
20180526000429,0,-1
20180526000430,0,-1
20180526000431,0,-1
20180526000432,0,-1
20180526000433,0,-1
20180526000434,0,-1
20180526000435,0,-1
20180526000436,0,-1
20180526000437,0,-1
20180526000438,0,-1
20180526000439,0,-1
20180526000440,0,-1
20180526000441,0,-1
20180526000442,0,-1
20180526000443,0,-1
20180526000445,0,-1
20180526000446,0,-1
20180526000447,0,-1
20180526000448,0,-1
20180526000449,0,-1
20180526000450,0,-1
20180526000451,0,-1
20180526000452,0,-1
20180526000453,0,-1
20180526000454,0,-1
20180526000455,0,-1
20180526000456,0,-1
20180526000457,0,-1
20180526000458,0,-1
20180526000459,0,-1
20180526000500,0,-1
20180526000501,0,-1
20180526000502,0,-1
20180526000503,0,-1
20180526000504,0,-1
20180526000505,0,-1
20180526000506,0,-1
20180526000508,0,-1
20180526000509,0,-1
20180526000510,0,-1
20180526000511,0,-1
20180526000512,0,-1
20180526000513,0,-1
20180526000514,0,-1
20180526000515,0,-1
20180526000516,0,-1
20180526000517,0,-1
20180526000518,0,-1
20180526000519,0,-1
20180526000520,0,-1
20180526000521,0,-1
20180526000522,0,-1
20180526000523,0,-1
20180526000524,0,-1
20180526000525,0,-1
20180526000526,0,-1
20180526000527,0,-1
20180526000528,0,-1
20180526000530,0,-1
20180526000531,0,-1
20180526000532,0,-1
20180526000533,0,-1
20180526000534,0,-1
20180526000535,0,-1
20180526000536,0,-1
20180526000537,0,-1
20180526000538,0,-1
20180526000539,0,-1
20180526000540,0,-1
20180526000541,0,-1
20180526000542,0,-1
20180526000543,0,-1
20180526000544,0,-1
20180526000545,0,-1
20180526000546,0,-1
20180526000547,0,-1
20180526000548,0,-1
20180526000549,0,-1
20180526000550,0,-1
20180526000551,0,-1
20180526000553,0,-1
20180526000554,0,-1
20180526000555,0,-1
20180526000556,0,-1
20180526000557,0,-1
20180526000558,0,-1
20180526000559,0,-1
20180526000600,0,-1
20180526000601,0,-1
20180526000602,0,-1
20180526000603,0,-1
20180526000604,0,-1
20180526000605,0,-1
20180526000606,0,-1
20180526000607,0,-1
20180526000608,0,-1
20180526000609,0,-1
20180526000610,0,-1
20180526000611,0,-1
20180526000612,0,-1
20180526000613,0,-1
20180526000614,0,-1
20180526000616,0,-1
20180526000617,0,-1
20180526000618,0,-1
20180526000619,0,-1
20180526000620,0,-1
20180526000621,0,-1
20180526000622,0,-1
20180526000623,0,-1
20180526000624,0,-1
20180526000625,0,-1
20180526000626,0,-1
20180526000627,0,-1
20180526000628,0,-1
20180526000629,0,-1
20180526000630,0,-1
20180526000631,0,-1
20180526000632,0,-1
20180526000633,0,-1
20180526000634,0,-1
20180526000635,0,-1
20180526000636,0,-1
20180526000638,0,-1
20180526000639,0,-1
20180526000640,0,-1
20180526000641,0,-1
20180526000642,0,-1
20180526000643,0,-1
20180526000644,0,-1
20180526000645,0,-1
20180526000646,0,-1
20180526000647,0,-1
20180526000648,0,-1
20180526000649,0,-1
20180526000650,0,-1
20180526000651,0,-1
20180526000652,0,-1
20180526000653,0,-1
20180526000654,0,-1
20180526000655,0,-1
20180526000656,0,-1
20180526000657,0,-1
20180526000658,0,-1
20180526000659,0,-1
20180526000701,0,-1
20180526000702,0,-1
20180526000703,0,-1
20180526000704,0,-1
20180526000705,0,-1
20180526000706,0,-1
20180526000707,0,-1
20180526000708,0,-1
20180526000709,0,-1
20180526000710,0,-1
20180526000711,0,-1
20180526000712,0,-1
20180526000713,0,-1
20180526000714,0,-1
20180526000715,0,-1
20180526000716,0,-1
20180526000717,0,-1
20180526000718,0,-1
20180526000719,0,-1
20180526000720,0,-1
20180526000721,0,-1
20180526000722,0,-1
20180526000724,0,-1
20180526000725,0,-1
20180526000726,0,-1
20180526000727,0,-1
20180526000728,0,-1
20180526000729,0,-1
20180526000730,0,-1
20180526000731,0,-1
20180526000732,0,-1
20180526000733,0,-1
20180526000734,0,-1
20180526000735,0,-1
20180526000736,0,-1
20180526000737,0,-1
20180526000738,0,-1
20180526000739,0,-1
20180526000740,0,-1
20180526000741,0,-1
20180526000742,0,-1
20180526000743,0,-1
20180526000744,0,-1
20180526000746,0,-1
20180526000747,0,-1
20180526000748,0,-1
20180526000749,0,-1
20180526000750,0,-1
20180526000751,0,-1
20180526000752,0,-1
20180526000753,0,-1
20180526000754,0,-1
20180526000755,0,-1
20180526000756,0,-1
20180526000757,0,-1
20180526000758,0,-1
20180526000759,0,-1
20180526000800,0,-1
20180526000801,0,-1
20180526000802,0,-1
20180526000803,0,-1
20180526000804,0,-1
20180526000805,0,-1
20180526000806,0,-1
20180526000808,0,-1
20180526000809,0,-1
20180526000810,0,-1
20180526000811,0,-1
20180526000812,0,-1
20180526000813,0,-1
20180526000814,0,-1
20180526000815,0,-1
20180526000816,0,-1
20180526000817,0,-1
20180526000818,0,-1
20180526000819,0,-1
20180526000820,0,-1
20180526000821,0,-1
20180526000822,0,-1
20180526000823,0,-1
20180526000824,0,-1
20180526000825,0,-1
20180526000826,0,-1
20180526000827,0,-1
20180526000828,0,-1
20180526000829,0,-1
20180526000831,0,-1
20180526000832,0,-1
20180526000833,0,-1
20180526000834,0,-1
20180526000835,0,-1
20180526000836,0,-1
20180526000837,0,-1
20180526000838,0,-1
20180526000839,0,-1
20180526000840,0,-1
20180526000841,0,-1
20180526000842,0,-1
20180526000843,0,-1
20180526000844,0,-1
20180526000845,0,-1
20180526000846,0,-1
20180526000847,0,-1
20180526000848,0,-1
20180526000849,0,-1
20180526000850,0,-1
20180526000851,0,-1
20180526000853,0,-1
20180526000854,0,-1
20180526000855,0,-1
20180526000856,0,-1
20180526000857,0,-1
20180526000858,0,-1
20180526000859,0,-1
20180526000900,0,-1
20180526000901,0,-1
20180526000902,0,-1
20180526000903,0,-1
20180526000904,0,-1
20180526000905,0,-1
20180526000906,0,-1
20180526000907,0,-1
20180526000908,0,-1
20180526000909,0,-1
20180526000910,0,-1
20180526000911,0,-1
20180526000913,0,-1
20180526000914,0,-1
20180526000915,0,-1
20180526000916,0,-1
20180526000917,0,-1
20180526000918,0,-1
20180526000919,0,-1
20180526000920,0,-1
20180526000921,0,-1
20180526000922,0,-1
20180526000923,0,-1
20180526000924,0,-1
20180526000925,0,-1
20180526000926,0,-1
20180526000927,0,-1
