datetime,events,distance(KM)
20180524110810,0,-1
20180524110811,0,-1
20180524110812,0,-1
20180524110814,0,-1
20180524110815,0,-1
20180524110816,0,-1
20180524110817,0,-1
20180524110818,0,-1
20180524110819,0,-1
20180524110820,0,-1
20180524110821,0,-1
20180524110822,0,-1
20180524110823,0,-1
20180524110824,0,-1
20180524110825,0,-1
20180524110826,0,-1
20180524110827,0,-1
20180524110828,0,-1
20180524110829,0,-1
20180524110830,0,-1
20180524110831,0,-1
20180524110832,0,-1
20180524110834,0,-1
20180524110835,0,-1
20180524110836,0,-1
20180524110837,0,-1
20180524110838,0,-1
20180524110839,0,-1
20180524110840,0,-1
20180524110841,0,-1
20180524110842,0,-1
20180524110843,0,-1
20180524110844,0,-1
20180524110845,0,-1
20180524110846,0,-1
20180524110847,0,-1
20180524110848,0,-1
20180524110849,0,-1
20180524110850,0,-1
20180524110851,0,-1
20180524110852,0,-1
20180524110854,0,-1
20180524110855,0,-1
20180524110856,0,-1
20180524110857,0,-1
20180524110858,0,-1
20180524110859,0,-1
20180524110900,0,-1
20180524110901,0,-1
20180524110902,0,-1
20180524110903,0,-1
20180524110904,0,-1
20180524110905,0,-1
20180524110906,0,-1
20180524110907,0,-1
20180524110908,0,-1
20180524110909,0,-1
20180524110910,0,-1
20180524110911,0,-1
20180524110912,0,-1
20180524110913,0,-1
20180524110915,0,-1
20180524110916,0,-1
20180524110917,0,-1
20180524110918,0,-1
20180524110919,0,-1
20180524110920,0,-1
20180524110921,0,-1
20180524110922,0,-1
20180524110923,0,-1
20180524110924,0,-1
20180524110925,0,-1
20180524110926,0,-1
20180524110927,0,-1
20180524110928,0,-1
20180524110929,0,-1
20180524110930,0,-1
20180524110931,0,-1
20180524110932,0,-1
20180524110933,0,-1
20180524110934,0,-1
20180524110936,0,-1
20180524110937,0,-1
20180524110938,0,-1
20180524110939,0,-1
20180524110940,0,-1
20180524110941,0,-1
20180524110942,0,-1
20180524110943,0,-1
20180524110944,0,-1
20180524110945,0,-1
20180524110946,0,-1
20180524110947,0,-1
20180524110948,0,-1
20180524110949,0,-1
20180524110950,0,-1
20180524110951,0,-1
20180524110952,0,-1
20180524110953,0,-1
20180524110954,0,-1
20180524110955,0,-1
20180524110957,0,-1
20180524110958,0,-1
20180524110959,0,-1
20180524111000,0,-1
20180524111001,0,-1
20180524111002,0,-1
20180524111003,0,-1
20180524111004,0,-1
20180524111005,0,-1
20180524111006,0,-1
20180524111007,0,-1
20180524111008,0,-1
20180524111009,0,-1
20180524111010,0,-1
20180524111011,0,-1
20180524111012,0,-1
20180524111013,0,-1
20180524111014,0,-1
20180524111015,0,-1
20180524111016,0,-1
20180524111017,0,-1
20180524111019,0,-1
20180524111020,0,-1
20180524111021,0,-1
20180524111022,0,-1
20180524111023,0,-1
20180524111024,0,-1
20180524111025,0,-1
20180524111026,0,-1
20180524111027,0,-1
20180524111028,0,-1
20180524111029,0,-1
20180524111030,0,-1
20180524111031,0,-1
20180524111032,0,-1
20180524111033,0,-1
20180524111034,0,-1
20180524111035,0,-1
20180524111036,0,-1
20180524111037,0,-1
20180524111038,0,-1
20180524111040,0,-1
20180524111041,0,-1
20180524111042,0,-1
20180524111043,0,-1
20180524111044,0,-1
20180524111045,0,-1
20180524111046,0,-1
20180524111047,0,-1
20180524111048,0,-1
20180524111049,0,-1
20180524111050,0,-1
20180524111051,0,-1
20180524111052,0,-1
20180524111053,0,-1
20180524111054,0,-1
20180524111055,0,-1
20180524111056,0,-1
20180524111057,0,-1
20180524111058,0,-1
20180524111100,0,-1
20180524111101,0,-1
20180524111102,0,-1
20180524111103,0,-1
20180524111104,0,-1
20180524111105,0,-1
20180524111106,0,-1
20180524111107,0,-1
20180524111108,0,-1
20180524111109,0,-1
20180524111110,0,-1
20180524111111,0,-1
20180524111112,0,-1
20180524111113,0,-1
20180524111114,0,-1
20180524111115,0,-1
20180524111116,0,-1
20180524111117,0,-1
20180524111118,0,-1
20180524111120,0,-1
20180524111121,0,-1
20180524111122,0,-1
20180524111123,0,-1
20180524111124,0,-1
20180524111125,0,-1
20180524111126,0,-1
20180524111127,0,-1
20180524111128,0,-1
20180524111129,0,-1
20180524111130,0,-1
20180524111131,0,-1
20180524111132,0,-1
20180524111133,0,-1
20180524111134,0,-1
20180524111135,0,-1
20180524111136,0,-1
20180524111137,0,-1
20180524111138,0,-1
20180524111139,0,-1
20180524111141,0,-1
20180524111142,0,-1
20180524111143,0,-1
20180524111144,0,-1
20180524111145,0,-1
20180524111146,0,-1
20180524111147,0,-1
20180524111148,0,-1
20180524111149,0,-1
20180524111150,0,-1
20180524111151,0,-1
20180524111152,0,-1
20180524111153,0,-1
20180524111154,0,-1
20180524111155,0,-1
20180524111156,0,-1
20180524111157,0,-1
20180524111158,0,-1
20180524111159,0,-1
20180524111200,0,-1
20180524111201,0,-1
20180524111203,0,-1
20180524111204,0,-1
20180524111205,0,-1
20180524111206,0,-1
20180524111207,0,-1
20180524111208,0,-1
20180524111209,0,-1
20180524111210,0,-1
20180524111211,0,-1
20180524111212,0,-1
20180524111213,0,-1
20180524111214,0,-1
20180524111215,0,-1
20180524111216,0,-1
20180524111217,0,-1
20180524111218,0,-1
20180524111219,0,-1
20180524111220,0,-1
20180524111222,0,-1
20180524111223,0,-1
20180524111224,0,-1
20180524111225,0,-1
20180524111226,0,-1
20180524111227,0,-1
20180524111228,0,-1
20180524111229,0,-1
20180524111230,0,-1
20180524111231,0,-1
20180524111232,0,-1
20180524111233,0,-1
20180524111234,0,-1
20180524111235,0,-1
20180524111236,0,-1
20180524111237,0,-1
20180524111238,0,-1
20180524111239,0,-1
20180524111240,0,-1
20180524111242,0,-1
20180524111243,0,-1
20180524111244,0,-1
20180524111245,0,-1
20180524111246,0,-1
20180524111247,0,-1
20180524111248,0,-1
20180524111249,0,-1
20180524111250,0,-1
20180524111251,0,-1
20180524111252,0,-1
20180524111253,0,-1
20180524111254,0,-1
20180524111255,0,-1
20180524111256,0,-1
20180524111257,0,-1
20180524111258,0,-1
20180524111259,0,-1
20180524111300,0,-1
20180524111301,0,-1
20180524111303,0,-1
20180524111304,0,-1
20180524111305,0,-1
20180524111306,0,-1
20180524111307,0,-1
20180524111308,0,-1
20180524111309,0,-1
20180524111310,0,-1
20180524111311,0,-1
20180524111312,0,-1
20180524111313,0,-1
20180524111314,0,-1
20180524111315,0,-1
20180524111316,0,-1
20180524111317,0,-1
20180524111318,0,-1
20180524111319,0,-1
20180524111320,0,-1
20180524111321,0,-1
20180524111322,0,-1
20180524111324,0,-1
20180524111325,0,-1
20180524111326,0,-1
20180524111327,0,-1
20180524111328,0,-1
20180524111329,0,-1
20180524111330,0,-1
20180524111331,0,-1
20180524111332,0,-1
20180524111333,0,-1
20180524111334,0,-1
20180524111335,0,-1
20180524111336,0,-1
20180524111337,0,-1
20180524111338,0,-1
20180524111339,0,-1
20180524111340,0,-1
20180524111341,0,-1
20180524111342,0,-1
20180524111343,0,-1
20180524111345,0,-1
20180524111346,0,-1
20180524111347,0,-1
20180524111348,0,-1
20180524111349,0,-1
20180524111350,0,-1
20180524111351,0,-1
20180524111352,0,-1
20180524111353,0,-1
20180524111354,0,-1
20180524111355,0,-1
20180524111356,0,-1
20180524111357,0,-1
20180524111358,0,-1
20180524111359,0,-1
20180524111400,0,-1
20180524111401,0,-1
20180524111402,0,-1
20180524111403,0,-1
20180524111405,0,-1
20180524111406,0,-1
20180524111407,0,-1
20180524111408,0,-1
20180524111409,0,-1
20180524111410,0,-1
20180524111411,0,-1
20180524111412,0,-1
20180524111413,0,-1
20180524111414,0,-1
20180524111415,0,-1
