datetime,events,distance(KM)
20180523231545,1,-1
20180523231744,1,-1
20180523231745,1,-1
20180523231746,1,-1
20180523231747,1,-1
20180523231749,1,-1
20180523231750,1,-1
20180523231751,1,-1
20180523231752,1,-1
20180523231753,1,-1
20180523231754,1,-1
20180523231755,1,-1
20180523231756,1,-1
20180523231757,1,-1
20180523231758,1,-1
20180523231759,1,-1
20180523231800,1,-1
20180523231801,1,-1
20180523231802,1,-1
20180523231803,1,-1
20180523231804,1,-1
20180523231805,1,-1
20180523231806,1,-1
20180523231807,1,-1
20180523231809,1,-1
20180523231810,1,-1
20180523231811,1,-1
20180523231812,1,-1
20180523231813,1,-1
20180523231814,1,-1
20180523231815,1,-1
20180523231816,1,-1
20180523231817,1,-1
20180523231818,1,-1
20180523231819,1,-1
20180523231820,1,-1
20180523231821,1,-1
20180523231822,1,-1
