datetime,temperature(℃),humidity(%),pressure(mbar),hazardous
20181107170629,28.5,36.7,1018.9,[False]
20181107170637,28.5,36.7,1018.8,[False]
20181107170645,28.5,36.7,1018.8,[False]
20181107170653,28.5,36.6,1019.0,[False]
20181107170701,28.5,36.7,1018.9,[False]
20181107170709,28.5,36.7,1019.0,[False]
20181107170717,28.5,36.8,1018.9,[False]
20181107170726,28.4,36.7,1018.8,[False]
20181107170734,28.5,36.7,1018.9,[False]
20181107170914,28.6,36.3,1018.9,False
20181107170922,28.7,36.3,1018.9,False
