datetime,temperature(℃),humidity(%),pressure(mbar)
20180525000044,38.4,20.8,1004.7
20180525000147,38.2,20.9,1004.7
20180525000250,38.3,20.8,1004.6
20180525000353,38.3,20.6,1004.6
20180525000456,38.4,20.6,1004.5
20180525000559,38.3,21.1,1004.5
20180525000702,38.3,21.0,1004.5
20180525000806,38.3,20.8,1004.5
20180525000909,38.3,20.9,1004.5
20180525001012,38.3,20.7,1004.4
20180525001115,38.4,20.9,1004.4
20180525001218,38.4,20.9,1004.4
20180525001321,38.1,21.3,1004.3
20180525001424,38.2,21.1,1004.4
20180525001527,38.0,21.3,1004.2
20180525001630,38.3,21.0,1004.3
20180525001733,38.2,21.1,1004.2
20180525001837,38.4,21.0,1004.2
20180525001940,38.4,20.9,1004.3
20180525002043,38.4,20.8,1004.3
20180525002146,38.3,21.2,1004.3
20180525002249,38.4,20.9,1004.3
20180525002352,38.1,21.2,1004.2
20180525002455,38.0,21.7,1004.1
20180525002558,38.1,21.5,1004.2
20180525002701,38.0,21.5,1004.2
20180525002804,38.0,21.9,1004.3
20180525002908,38.1,21.6,1004.2
20180525003011,38.2,21.5,1004.2
20180525003114,38.3,21.4,1004.1
20180525003217,38.3,21.4,1004.2
20180525003320,38.0,21.6,1004.2
20180525003423,38.4,21.5,1004.1
20180525003526,37.9,21.9,1004.1
20180525003630,37.9,22.0,1004.1
20180525003733,38.2,21.5,1004.1
20180525003836,38.2,21.6,1004.1
20180525003939,38.3,21.5,1004.1
20180525004042,38.1,21.6,1004.0
20180525004145,38.3,21.6,1004.0
20180525004248,38.3,21.5,1004.0
20180525004351,38.2,21.6,1004.1
20180525004454,38.2,21.5,1004.0
20180525004558,38.2,21.7,1004.1
20180525004701,38.2,21.5,1004.0
20180525004804,38.1,21.9,1004.1
20180525004907,38.2,21.8,1003.9
20180525005010,38.2,21.8,1003.9
20180525005113,38.2,21.7,1003.9
20180525005216,38.0,22.0,1003.9
20180525005319,38.2,21.9,1004.0
20180525005423,38.1,22.0,1003.9
20180525005526,38.3,21.8,1003.8
20180525005629,38.2,21.8,1003.7
20180525005732,38.1,22.3,1003.8
20180525005835,38.1,22.0,1003.8
20180525005938,38.1,22.0,1003.8
20180525010041,38.2,22.1,1003.8
20180525010144,38.1,22.1,1003.7
20180525010247,37.7,22.8,1003.9
20180525010351,37.9,22.1,1003.7
20180525010454,38.2,22.0,1003.8
20180525010557,38.2,22.0,1003.7
20180525010700,38.1,22.3,1003.7
20180525010803,38.2,22.0,1003.7
20180525010906,38.2,22.1,1003.6
20180525011009,38.3,22.0,1003.7
20180525011112,38.4,21.6,1003.5
20180525011215,38.2,21.9,1003.6
20180525011318,38.3,22.0,1003.6
20180525011422,38.4,21.6,1003.6
20180525011525,38.4,22.0,1003.6
20180525011628,38.2,22.1,1003.6
20180525011731,38.3,22.0,1003.7
20180525011834,38.3,21.8,1003.5
20180525011937,38.3,22.1,1003.6
20180525012040,38.2,22.4,1003.6
20180525012143,38.2,22.3,1003.6
20180525012246,38.0,22.8,1003.6
20180525012349,38.0,22.6,1003.6
20180525012453,38.0,22.5,1003.6
20180525012556,37.9,22.6,1003.6
20180525012659,38.1,22.5,1003.6
20180525012802,38.2,22.3,1003.6
20180525012905,38.1,22.5,1003.6
20180525013008,38.1,22.5,1003.6
20180525013111,38.2,22.4,1003.6
20180525013214,38.2,22.5,1003.6
20180525013317,38.1,22.7,1003.6
20180525013420,38.2,22.4,1003.7
20180525013524,38.2,22.3,1003.5
20180525013627,38.4,22.4,1003.5
20180525013730,38.1,22.7,1003.6
20180525013833,38.2,22.6,1003.6
20180525013936,38.0,23.0,1003.6
20180525014039,38.1,22.7,1003.6
20180525014142,38.1,22.6,1003.6
20180525014245,38.0,22.8,1003.6
20180525014348,38.3,22.4,1003.5
20180525014451,38.3,22.5,1003.5
20180525014554,38.3,22.6,1003.5
20180525014658,38.3,22.7,1003.5
20180525014801,38.3,22.8,1003.5
20180525014904,37.8,23.4,1003.4
20180525015007,38.2,22.9,1003.4
20180525015110,38.3,22.5,1003.3
20180525015213,38.3,22.4,1003.4
20180525015316,37.7,23.4,1003.3
20180525015419,38.0,22.9,1003.3
20180525015522,38.1,22.9,1003.2
20180525015625,38.2,22.8,1003.2
20180525015729,38.1,23.0,1003.2
20180525015832,38.1,22.7,1003.1
20180525015935,38.3,22.8,1003.2
20180525020038,38.2,22.8,1003.3
20180525020141,38.3,23.1,1003.2
20180525020244,38.3,23.2,1003.3
20180525020347,38.0,23.3,1003.2
20180525020450,38.1,23.3,1003.3
20180525020553,38.2,23.1,1003.3
20180525020656,37.9,23.8,1003.4
20180525020800,38.2,23.3,1003.4
20180525020903,38.1,23.3,1003.4
20180525021006,38.3,23.4,1003.4
20180525021109,38.2,23.1,1003.5
20180525021212,38.2,23.0,1003.3
20180525021315,37.3,24.5,1003.5
20180525021418,37.9,23.6,1003.4
20180525021521,38.1,23.6,1003.4
20180525021624,38.0,23.7,1003.4
20180525021728,38.1,23.2,1003.4
20180525021831,38.2,23.5,1003.5
20180525021934,38.2,23.4,1003.4
20180525022037,38.2,23.5,1003.4
20180525022140,38.4,22.9,1003.4
20180525022243,38.3,23.3,1003.4
20180525022346,38.3,23.1,1003.3
20180525022449,38.2,23.5,1003.3
20180525022552,38.2,23.6,1003.3
20180525022656,38.2,23.3,1003.2
20180525022759,38.2,23.4,1003.2
20180525022902,38.1,23.8,1003.2
20180525023005,38.4,23.2,1003.2
20180525023108,38.5,23.2,1003.2
20180525023211,38.3,23.5,1003.2
20180525023314,38.1,24.1,1003.2
20180525023417,38.1,23.9,1003.2
20180525023520,38.0,23.6,1003.3
20180525023623,38.1,23.8,1003.3
20180525023727,38.1,23.6,1003.2
20180525023830,38.0,23.5,1003.2
20180525023933,38.2,23.4,1003.1
20180525024036,38.2,23.5,1003.1
20180525024139,38.3,23.5,1003.1
20180525024242,38.3,23.4,1003.2
20180525024345,38.3,23.5,1003.2
20180525024448,38.2,23.8,1003.2
20180525024551,38.2,23.7,1003.3
20180525024654,38.2,23.5,1003.2
20180525024758,38.2,23.7,1003.3
20180525024901,38.2,23.9,1003.4
20180525025004,38.2,23.7,1003.4
20180525025107,38.4,23.5,1003.4
20180525025210,38.5,23.5,1003.5
20180525025313,38.4,23.6,1003.5
20180525025416,38.2,23.9,1003.6
20180525025519,38.3,23.7,1003.7
20180525025622,38.4,23.6,1003.7
20180525025726,38.3,23.9,1003.7
20180525025829,38.2,23.8,1003.7
20180525025932,38.2,23.9,1003.5
20180525030035,38.2,23.7,1003.5
20180525030138,38.2,23.8,1003.6
20180525030241,38.1,24.4,1003.9
20180525030344,38.1,24.5,1003.9
20180525030447,38.0,24.6,1003.9
20180525030550,36.2,27.5,1004.0
20180525030653,37.5,25.3,1003.8
20180525030757,37.7,25.1,1003.8
20180525030900,37.7,25.2,1003.8
20180525031003,37.9,25.3,1003.9
20180525031106,37.7,25.0,1003.9
20180525031209,37.9,25.1,1003.8
20180525031312,37.9,25.2,1003.8
20180525031415,37.8,25.6,1003.8
20180525031518,37.9,25.4,1003.8
20180525031621,37.9,25.4,1003.8
20180525031724,37.9,25.4,1003.8
20180525031827,37.9,25.2,1003.7
20180525031931,38.0,24.9,1003.6
20180525032034,38.0,25.2,1003.6
20180525032137,38.0,25.1,1003.5
20180525032240,38.0,25.3,1003.4
20180525032343,38.1,25.1,1003.4
20180525032446,38.0,25.2,1003.3
20180525032549,38.1,25.2,1003.3
20180525032652,38.1,24.7,1003.2
20180525032755,38.1,24.9,1003.1
20180525032859,38.1,25.4,1003.1
20180525033002,38.0,25.5,1003.0
20180525033105,38.0,25.3,1003.0
20180525033208,38.0,25.5,1003.0
20180525033311,38.1,25.3,1003.1
20180525033414,38.0,25.8,1003.2
20180525033517,38.2,25.5,1003.1
20180525033620,38.2,25.4,1003.2
20180525033723,38.2,25.8,1003.1
20180525033826,38.0,26.0,1003.1
20180525033930,38.0,26.1,1003.1
20180525034033,38.0,26.2,1003.2
20180525034136,38.2,25.5,1003.2
20180525034239,38.2,25.5,1003.1
20180525034342,38.1,25.9,1003.1
20180525034445,38.2,25.9,1003.1
20180525034548,37.9,26.1,1003.1
20180525034651,37.9,26.3,1003.1
20180525034754,37.8,26.2,1003.1
20180525034857,37.8,26.2,1003.1
20180525035001,38.0,26.0,1003.0
20180525035104,37.8,26.4,1003.0
20180525035207,37.9,26.4,1003.0
20180525035310,37.8,26.4,1003.0
20180525035413,37.8,26.3,1003.0
20180525035516,37.8,26.3,1002.9
20180525035619,37.8,26.4,1002.9
20180525035722,37.8,26.5,1002.9
20180525035825,37.8,26.4,1003.0
20180525035928,37.7,26.7,1003.1
20180525040032,37.8,26.6,1003.1
20180525040135,37.4,26.8,1003.1
20180525040238,37.7,26.6,1003.1
20180525040341,37.7,26.6,1003.1
20180525040444,37.8,26.5,1003.1
20180525040547,37.7,26.7,1003.2
20180525040650,37.7,26.4,1003.2
20180525040753,37.7,26.2,1003.2
20180525040856,37.8,26.5,1003.1
20180525041000,37.7,26.3,1003.2
